questions,category
After how many hour from drinking an antibiotic can I drink alcohol?,Medication Information
Am I over weight (192.9) for my age (39)?,Lifestyle and Health
Aspirin allergy - is it worth getting a bracelet?,Preventive Medicine
"At a doctor's visit, I hit my head against a box on the wall containing hazardous materials (used syringes, used needles...). Will I get infected?",Specific Health Conditions and Diseases
Been on antibiotics 4 5wks top high tooth dentist cld not get needle 2 freeze 2 extract in gum really hurt she said its the tissues hve 2 go bk? Plz,Treatment Details
Can Adderall (dextroamphetamine and racemic amphetamine) cause ear pressure and slight headaches at the end of the day?,Medication Information
Can coarctation of the aorta cause poor growth in height?,Specific Health Conditions and Diseases
Can doxycycline treat an ear infection?,Medication Information
Can vinegar help drain the sinus? I've been eating balsamic vinegar dressing with my salads and I feel them draining is that normal??,Lifestyle and Health
Could chiari malformation cause pituitary problems or diabetes insipidus?,Specific Health Conditions and Diseases
Could homeopathy for acne help?,Treatment Details
Could this med cause anxiety in a 12 year old?,Medication Information
Could you tell me why my husband has been sweating and vomiting after injecting 30 units of lantis insulin? What should I do?,Medication Information
Does age increase the severity of eds symptoms/problems?,Specific Health Conditions and Diseases
Does dermonu work for acne scars?,Treatment Details
Extension from my last question. There's vaginal discharge too so ce I'm ovulating. Could that cause the itching?,Specific Health Conditions and Diseases
Feeling frequent deja vu. I've had maybe 3 panic attack with in the past couple months that has left me a bit anxious and was wondering if it's that?,Specific Health Conditions and Diseases
Have neck/back issues for months & had muscle cramps in calves. Stressed. Have (anxiety) BP is somewhat healthy. Yesterday felt tingly in both hands & shaky. In 20s .. Now it's off & on . Any ideas?,Specific Health Conditions and Diseases
"Hello, I have had an ultra sound of the testicles and the inguinal area. No trace of hernia or adenopthy. The results came back completely normal. My doctor looked at it and felt it twice. He said it is definitely not a hernia and it is just slightly bigg",Diagnosis Explanation
How can someone's happiness level affect someone's health?,Lifestyle and Health
How common is it to have physical anxiety symptoms without feeling anxious?,Specific Health Conditions and Diseases
How do add and ADHD differ?,Diagnosis Explanation
How do I know if I have depression and anxiety?,Diagnosis Explanation
How long does it take for herpes to break out?,Specific Health Conditions and Diseases
How many tylenol (acetaminophen) 3's are equal to  a percocet?,Medication Information
How much time off work do I take after an ACL reconstruction?,Treatment Details
How should the drug methotrexate affect the cells of the body regarding treatment of arthritis?,Treatment Details
How to deal with someone acting childish?,Lifestyle and Health
How to tell what I am having an allergic reaction to?,Diagnosis Explanation
I am currently on minocin (minocycline) to treat my acne but I think I am getting itchy hives?,Medication Information
"If I had hepatitis a, does that mean I can't drink alcohol for a certain number of weeks afterwards?",Treatment Details
I get one or two acne errupting each month.How do I prevent them?Also the acne leaves scars on my skin. Is there any off the shelf product i could try,Preventive Medicine
"I got my period twice within 3 weeks, for the second time within 4 months. Why? I haven't been stressed or changed my exercise plan or diet recently..",Specific Health Conditions and Diseases
"I had arthroscopic surgery on my left knee almost a month ago but it seems to be filling up with synovial fluid, shoulde i go back to work or wait until i see the dr.?",Treatment Details
I have tinea versicolor in the testicles and tip of penis. It gets itchy and dry. The doctor sent me a salycilic acid wash. Makes sense?,Treatment Details
"I'm 16 and my left testicle started having somewhat severe pain in it, it hurts more than extremely when I walk and it hits my pants I can't drive help?",Specific Health Conditions and Diseases
I'm taking anxiety and depression medicine to avoid panic attacks mainly & avoid er. Can i take more than 0.5 if i feel panic and 0.5 mg doesn't work?,Medication Information
"Is 4 mg intuniv & 2mgrisperdal too much for a 5 1/2 yr old, im worried..His neurologist prescibed for pddnos & adhd?",Medication Information
Is aloe vera juice good for hypertension?,General Health Information
Is fecal bacteria really unhealthy compared to other bacteria when you are pregnant?,Specific Health Conditions and Diseases
Is hypno-therapy dangeorus?,Treatment Details
Is it normal to have nausea and loss of appetite when on your period?,Lifestyle and Health
My child has low alkaline phosphatase level on his lab results. Why?,Diagnosis Explanation
